,pid,birth,death,name,biography,birthplace
10,1633,UNK,UNK,鲍德熹,,UNK
11,10885,1938,UNK,曾江,,Hong Kong
12,11401,1946-09-22,UNK,吴宇森,,"Guangzhou, China"
13,12466,1964-07-20,UNK,张耀扬,,Hong Kong
14,12470,1974-09-11,UNK,Paulyn Sun,,Singapore
15,12672,1965-12-08,UNK,Carina Lau,,"Suzhou, Jiangsu, China"
16,18897,1954-04-07,UNK,成龙,,"Victoria Peak, Hong Kong"
17,18899,1945-01-01,UNK,袁和平,,"Guangzhou, China"
18,20519,1955-03-19,UNK,任达华,,Hong Kong
19,20640,1952-08-12,UNK,陈凯歌,,"Beijing, China"
20,20652,1980-05-24,UNK,张柏芝,"国际影星张柏芝1980年出生在香港，从小家境普通，小学毕业之后被父亲送到澳大利亚读书，从小就喜欢照顾人的张柏芝本来打算做一名护士。1998年，17岁的张柏芝从澳洲高中毕业回港。就被星探发现，接拍了阳光柠檬茶的广告（同黄宗泽），当这个不同版本的广告片播出后，各大小杂志、电影公司及广告公司都惊为天人, 纷纷联络其经理人。刚刚出道时的张柏芝因为形象清丽秀美，被媒体誉为小林青霞，而经纪公司也有意将她包装成香港娱乐圈新的玉女派掌门人。然而个性出众的张柏芝却依然坚持要保持自己的本色。接拍了阳光柠檬茶的广告 后，张柏芝被周星驰发掘，成为《喜剧之王》的女主角。她在剧中扮演不失单纯个性的小舞女柳飘飘，情感拿捏得真挚感人，就此一炮而红，此片最后成为当时贺岁片中的票房冠军，成绩达三千万港元。张柏芝被誉为新一代玉女掌门人、香港电影的救星和张曼玉的接班人。 此后, 张柏芝接拍了由嘉禾电影公司出品，马楚成执导的爱情文艺《星愿》并担演女主角，此片已于99年８月份暑假黄金档期上演，而票房更冲破一千万，更为Cecilia奠定影坛上能歌擅影的地位。",Hong Kong
21,20654,1978-03-23,UNK,刘烨,,"Jilin, China"
22,20655,1968-12-13,UNK,Hong Chen,,"Jiangxi, China"
23,20999,1959-08-22,UNK,Mark Williams,,"Bromsgrove, Worcestershire, England, UK"
24,21902,UNK,UNK,王文隽,,UNK
25,21908,1965-10-26,UNK,郭富城,郭富城，香港艺人，昵称“城城”，又称“城仔”、“阿王”(其英文名Aaron译音)，出生于香港，籍贯广东东莞，13星宿排名第三。成名之前已是一名出色的舞蹈演员，曾在吕方、梅艳芳的MV都有扮演过角色。在无线表演班训练期间，表现出色，艺训班毕业成绩第一名，有无线“十小虎”之称，拍过一系列影视作品，由于当时无线五虎将正热，反响一般。　　经历默默无闻的几年奋斗时期，1990凭台湾光阳机车（HONDA）广告被大家熟知，之后更被台湾知名经理人刘玮慈发掘出了第1张个人唱片《对你爱不完》深受台湾歌迷的欢迎，随即又推出了个人2张国语大碟《我是不是该安静的走开》、《到底有谁能告诉我》，风靡整个亚洲一时，可以说当时只要有中国人的地方就有郭富城的歌声。　　1992年之后回到香港发展。 自在港推出粤语专辑《请把我的情感带回家》形成抢购热潮，勇夺四白金销量后，更以迷人的舞姿、俊俏的形象、健硕的身型与清新的歌声渐渐深入人心，人气急升，迅速窜红。与张学友，刘德华，黎明一同被香港媒体封为“四大天王”。之后更是得到了“亚洲舞王”的美誉。1995年在香港音乐人雷颂德、谭国政及经理人小美的协助下，挖掘其娴熟的舞技与别有特色的声线，使其成功转型为实力派歌手，三次获得最受欢迎男歌手及多次年度十大金曲等殊荣。歌曲代表作有：《第四晚心情》《狂野之城》《铁幕诱惑》《纯真传说》《爱的呼唤》《信鸽》《动起来》《唱这歌》……郭富城是唯美的温厚的动感的豪情的，是歌星世界里不可缺的。　　在歌唱事业顶峰之际，98年广告签约百事可乐，成为百事可乐汽水大中华区代言人，以“ask more——无限渴望”为主题从此中国刮起了蓝色飓风，在年轻人的心中郭富城的形象是最酷的，喝有蓝色百事是最酷的。2005年，郭结束了和百事可乐8年的代言人关系，但跟百事仍然保持良好的合作关系。 2002年接拍美特斯邦威服装广告， 一举成功推动中国服装品牌跻身国际系列，“美特斯邦威不走寻常路”“美特斯邦威每个人都有自己的舞台”等广告语路人皆知。2004年接拍与狼共舞服饰广告，“WHY NOT 谁说不可以”“乐在其中”与狼共舞音乐羽绒服结合郭富城的个人魅力与舞蹈功底备受消费者欢迎。　　由于华纳唱片近几年的高层领导频频变动，内部矛盾不断，2006年8月9日，郭富城以高价正式签约大国文化，亦离开效力13年的华纳唱片公司，开始把事业重心放在音乐剧和电影方面，以圆他自己多年的心愿——演出一部大型音乐剧，演出更多的好电影。　　在歌唱上取得辉煌成绩的同时，从上世纪80年代末开始，郭富城也拍过一系列的影视作品，由于90年代他把工作重心放在了歌唱事业上，所以并没有在意表演上的得失，但他主演的每一部作品，都充满真诚与感动，不论是英雄还是反面人物，他都演绎的角色虽不算不上入木三分，但都是用心之作，很具感染力。其中表现较突出的电视作品有：《烈火狂奔》《廉政行动组》《风之刀》《动感豪情》 电影作品有：《伴我纵横》《赤脚小子》《91神雕侠侣》《千面天王》《浪漫风暴》《风云》《雷霆战警》《小亲亲》《柔道龙虎榜》《三岔口》《父子》《C+ 侦探》《白银帝国》。其中《91神雕侠侣》里的银狐一角，一头银发，闪电眼神，那种邪恶的酷，深受观众赞赏，曾提名金像奖最佳男配角；96年《浪漫风暴》里的拳王王学勤，那种执着与坚持，也深受广大观众赞赏，在那年的香港金像奖颁奖后，媒体认为《浪漫风暴》里的郭富城是那年被忽视的遗珠，但当时郭富城31 岁，还相当年轻，一心在歌唱事业发展，也就没放在心上（但假设当年他有了表演上的肯定，郭富城的演绎事业或许会更顺利地达到顶峰）。98年《风云》里面的步惊云，郭富城把漫画里的人物演绎得入木三分，那种冷酷的柔情与沉默，深受观众喜爱，并被评为最符合原着形象的步惊云；2005就是这部《三岔口》颓废而痴情的男人孙哥哥让郭富城勇夺金马影帝，也向多年以来质疑他演技的那群人开始闭嘴；2006年《父子》再一次成就了郭富城，连庄金马影帝，再一次对他的演技给予了肯定。郭富城也表示未来的十年表演领域是他事业重心，《白银帝国》《风云2》是2008年即将上映的电影，让我们拭目以待。　　郭富城虽然是最后一个搭上“四大天王”末班车的艺人，但没有他也就无所谓的四大天王了，上世纪90年代在娱乐圈内出现了无数的“第五天王”和所谓的 “四小天王”，但当时如日中天的‘四大天王’成员黎明、刘德华、郭富城及张学友的地位一直没有被后来人替代和超过。 他们靠各自的实力和魅力成为香港娱乐业最辉煌最有力的见证！,中国香港
26,21910,UNK,UNK,杨恭如,,UNK
27,21911,1976-04-16,UNK,舒淇,舒淇，1976年4月16日出生于台湾省新北市新店区，影视女演员、模特。她从高中开始就当上了业馀模特。1996年从台湾到香港发展，被王晶发掘主演多部影片，后凭借尔冬升导演的《色情男女》获得香港电影金像奖最佳女配角、最佳新人两项奖项。2001年登上美国《时代周刊》封面，并对舒淇进行了专访。2005年凭借《最好的时光》获得台湾电影金马奖最佳女主角奖。2008年担任第58届柏林国际电影节评委。2009年担任第62届戛纳国际电影节评委；同年，舒淇凭借《非诚勿扰》获得第13届中国电影华表奖优秀境外华裔女演员奖。2012年，舒淇和馀文乐共同主演了电影《情谜》。2013年，文章、舒淇主演了《西游·降魔篇》。2015年12月，主演的电影《鬼吹灯之寻龙诀》上映；主演爱情喜剧《我最好朋友的婚礼》中国版。2016年，参演电影《健忘村》和《The Adventures》。2016年9月3日，冯德伦和舒淇宣布结婚。,"Xindian District, Taiwan"
28,21914,1963-03-17,UNK,方中信,,UNK
29,23838,UNK,UNK,Christopher Kubheka,,UNK
30,25236,1955-04-22,UNK,杜琪峰,,Hong Kong
31,25245,1961-07-10,UNK,张学友,张学友，香港演员、歌星，是一位亚洲和华人极具影响力实力派音乐巨星、著名电影演员，香港乐坛“四大天王”之一，在华语地区享有“歌神”称誉。,Hong Kong
32,25246,1961-09-27,UNK,刘德华,,"Tai Po, Hong Kong"
33,25249,1959-12-19,UNK,Waise Lee,,"Hong Kong, China"
34,25251,UNK,UNK,林雪,,"Tianjin, Hong Kong"
35,26724,1953-04-14,UNK,曾志伟,曾志伟，香港影视演员，在中学毕业后曾任职业足球运动员，后辗转加入电影行业，最初担任龙虎武师。后来涉足编剧工作，并升任导演。加入新艺城后拍摄“最佳拍档”系列电影，大受好评。另外和冯淬帆、吴耀汉、洪金宝、岑建勋及秦祥林主演五福星系列电影，及参予王晶最佳损友系列电影，当中尖酸的说话方式和扺死的对白令一众香港人印象难忘，另在任编、导期间，曾志伟多次参予幕前客串演出，因此虽然只是小角色，也令香港观众无人不知曾志伟的名字。,Hong Kong
36,26726,1944-02-29,UNK,Karl Maka,,UNK
37,26728,UNK,UNK,许冠杰,,UNK
38,26729,UNK,UNK,Teddy Robin Kwan,,UNK
39,26739,1953-07-22,UNK,Sylvia Chang,,UNK
40,26744,1947-10-12,UNK,林子祥,,UNK
41,26760,1950-02-15,UNK,Tsui Hark,,"Saigon, Vietnam"
42,26767,1954,UNK,Ringo Lam,,Hong Kong
43,26775,1936-08-01,2013-06-24,刘家良,,"Xinhui, Guangdong, China"
44,26778,1966-02-16,UNK,陈雅伦,,Hong Kong
45,26784,1952-08-06,UNK,李修贤,,Shanghai
46,26785,1961-12-31,UNK,Nina Li Chi,,UNK
47,26786,UNK,UNK,黄锦燊,,UNK
48,29692,UNK,UNK,潘恒生,,UNK
49,35452,UNK,UNK,Corey Yuen Kwai,,"Hong Kong, China"
50,44917,1963-10-10,2003-12-30,Anita Mui,梅艳芳（1963--2003），著名歌手和电影演员，原籍广西合浦，1963年10月10日出生于香港，五岁已经在香港荔园游乐场登台演出。1982年，她在香港第一届新秀歌唱大赛上凭演唱《风的季节》获得冠军晋身流行歌坛，是20世纪80年代香港的乐坛巨星，曾在1985至1989年度连续五年获香港“最受欢迎女歌星”奖，1998年获香港“十大中文金曲奖”最高荣誉“金针奖”，凭多变的舞台形象，她赢得“百变梅艳芳”的称号。影视方面，她因主演影片《胭脂扣》而获得香港电影金像奖及台湾电影金马奖最佳女主角奖。2003年12月30日，梅艳芳因病逝世，终年四十岁。,Hong Kong
51,44922,1933-03-30,2006-02-22,Bill Tung,,Hong Kong
52,52575,1975-10-29,UNK,林熙蕾,,Taiwan
53,52908,1967-08-11,UNK,Collin Chou,,Taiwan
54,54615,1970-09-19,UNK,锺丽缇,,"Montreal, Québec, Canada"
55,55674,1944-12-16,2003-07-05,N!xau,,UNK
56,56804,1931-10-13,UNK,Lau Siu-Ming,,UNK
57,56811,1940-02-16,2004-11-24,黄霑,,"Panyu, Guangzhou, Guangdong, China"
58,56816,1970-06-20,UNK,Michelle Reis,,"Macao (now Macao SAR, China)"
59,56830,1954-11-03,UNK,林青霞,台湾著名电影女演员，祖籍山东莱阳，1954年11月3日出生于台北三重。她是七十年代后期最著名的文艺片巨星之一，与林凤娇、秦汉、秦祥林并称“二林二秦”，是当时华语影坛的“玉女”掌门人。林青霞曾被誉为“东南亚第一美女”，拍过一百多部电影，角色从青春玉女演到女侠，并且凭借《滚滚红尘》获得台湾电影金马奖最佳女主角奖。1992年，林青霞以《笑傲江湖Ⅱ之东方不败》再攀事业高峰。她是港台电影界唯一能横跨文艺、武侠两种不同电影风格且走红时间最长的女明星。,"Taipei, Republic of China (Taiwan)"
60,56861,1958-02-01,UNK,梁家辉,,Hong Kong
61,57607,1962-06-22,UNK,周星驰,香港演员、导演。祖籍浙江宁波，1962年6月22日生于香港，他是香港最为重要的喜剧片演员与编导之一。中学毕业以后考入香港无线电视台艺员训练班的夜间部。结业后成为无线艺人，最初曾在《香城浪子》《射雕英雄传》等剧集中担任临时演员。1983年起任主持儿童节目“430穿梭机”，长达五年，颇受欢迎。1987年被派回戏剧组，主演了《他来自江湖》、《盖世豪侠》，逐渐显露独特的喜剧才华。1988年应李修贤之邀出演电影《霹雳先锋》，获第二十五届台湾金马奖最佳男配角奖。1990年出演电影《赌圣》，创当年香港最高票房纪录。后又相继主演《新精武门》、《情圣》(1991)、《逃学威龙》系列、《审死官》(1992，获亚洲影展最佳男主角奖)、《鹿鼎记》两集、《漫画威龙》、《武状元苏乞儿》(1992)、《唐伯虎点秋香》、《九品芝麻官》、《破坏之王》(1993)等，皆票房大热，掀起一股无厘头旋风。1994执导电影《国产凌凌漆》。1994年主演刘镇伟导演的《西游记第一百零一回之月光宝盒》与《西游记大结局之仙履奇缘》，获金紫荆奖最佳男主角奖，但当时反响不大；数年后反被内地青年学子交口称赞，广为传放，极受推崇。1994年起开始自导自演，包括《国产凌凌漆》(1994，合导，参与编剧)、《大内密探零零发》、《食神》(1996，合导)、《喜剧之王》(1999)等，成绩皆不俗。这一时期参演作品相继有《回魂夜》《百变星君》《算死草》《97家有喜事》《行运一条龙》《千王之王2000》等。2001年独自执导、主演《少林足球》，编导与演技均获肯定，获第二十届香港电影金像奖最佳影片、最佳导演、最佳男主角等六项大奖。2004年导演《功夫》，相当卖座，并获第四十二届金马奖最佳剧情片、最佳导演奖，以及第二十四届金像奖最佳影片奖。2007年推出《长江7号》，并且开始筹备《功夫2》。监制的作品包括日本电影《少林少女》和好莱坞电影《龙珠》。2013年，逐渐转到幕后的周星驰导演了电影《西游·降魔篇》，上映后打破23项华语电影票房纪录，全球票房更达2.18亿美元，同时也刷新华语电影全球票房纪录。2014年，开始拍摄电影《美人鱼》，片中周星驰重新启用了“星女郎”张雨绮，女主角依然大胆选用了新人——林允，影片于2016年2月8日在内地上映，上映仅9天票房就已突破20亿。,Hong Kong
62,57609,1950-09-02,UNK,元华,,"Hong Kong, China"
63,57617,1952-08-01,UNK,Jeffrey Lau,,Hong Kong - China
64,57831,1970-06-02,UNK,莫文蔚,莫文蔚，香港歌手和演员，有威尔士、德国和波斯血统，自1990年代后期起在两岸三地有很高的人气。香港演员、歌星。拔萃书院毕业，会考后考取奖学金到意大利念语文，1990年转英国进修意大利文学。1993年回港为星光唱片公司灌录唱片后，回英国读完最后一年大学。1994年回港正式加入电影圈，首部电影为张之珏的《清官难审》。,Hong Kong
65,62410,1952-01-07,UNK,洪金宝,,"Hong Kong, China"
66,62412,UNK,UNK,黄炳耀,,UNK
67,62417,1939-12-17,UNK,吴耀汉,,Hong Kong
68,62419,UNK,UNK,Stanley Fung,,UNK
69,62420,1958-05-04,UNK,胡慧中,,"Taipei, Taiwan"
70,62423,1952-12-27,1997-11-08,林正英,林正英小时候家境贫穷，父母帮人包伙食为生，有六兄弟姐妹，林正英排行第三，与其兄姐一样，他曾在信义会小学就读两年，但其后辍学，之后在1963年至1964年，他加入了香港一个京剧团，并拜粉菊花及于占元为师，并与七小福的成员成龙及洪金宝等人一同受训，和尊龙、惠天赐、孟海、董玮为同门师兄弟，林正英受训半年后即投入演出，第一个剧目叫《白沙滩》，但他的京剧生涯只维持了三、四年，经朋友介绍下转行入了电影圈。,UNK
71,62424,UNK,UNK,Dick Wei,,UNK
72,63584,1961-12-21,UNK,吴镇宇,,Hong Kong
73,64496,1966-06-23,UNK,任贤齐,,"Hubei, China"
74,64662,UNK,UNK,陈国新,,UNK
75,64895,1971-09-04,UNK,袁咏仪,,"Hong Kong, China"
76,65353,1938-07-03,UNK,Jacklyn Wu,,"Taipei, Republic of China (Taiwan)"
77,65934,1965-08-15,UNK,谷德昭,,Hong Kong
78,65938,1976-03-25,UNK,梁咏琪,,UNK
79,65944,UNK,UNK,John Ching,,UNK
80,65959,UNK,UNK,James Wong,,UNK
81,65974,UNK,UNK,Lau Shun,,UNK
82,65975,UNK,UNK,Yuen Cheung-Yan,,UNK
83,65976,UNK,UNK,Yuen Shun-Yi,,UNK
84,65981,UNK,UNK,Ng See-Yuen,,UNK
85,65986,1947-06-29,UNK,姜大卫,,"Suzhou, Jiangsu, China"
86,65987,1962-09-24,UNK,关之琳,,Hong Kong
87,65990,UNK,UNK,Paul Fonoroff,,UNK
88,65992,1960-12-02,UNK,莫少聪,,UNK
89,66122,1955-01-01,UNK,Alfred Cheung Kin-Ting,,UNK
90,66717,1961-09-02,UNK,黄秋生,,Hong Kong
91,66761,1966-12-11,UNK,黎明,,"Beijing, China"
92,67046,UNK,UNK,Sally Yeh,,UNK
93,67221,1967-02-07,UNK,张敏,1968年生于上海，童年随父母移居香港，中学毕业后投考亚洲电视台艺员训练班。1986年被邀加盟永盛影片公司，与周润发、刘德华、许冠杰、周星驰、郭富城等顶级男星多有合作。她出演或主演的作品有《魔翡翠》《猛鬼大厦》《火舞风云》《赌神》《赌圣》《逃学威龙》《赌侠》《笑傲江湖》《新精武门1991》《漫画威龙》《与龙共舞》《雷洛传》《鹿鼎记》《绝代双娇》《武状元苏乞儿》《黄飞鸿之铁鸡斗蜈蚣》《九品芝麻官》《倚天屠龙记之魔教教主》《神经刀与飞天猫》《碧血剑》《天山童姥》《赌神2》《狂情杀手》《十兄弟》等。1995年曾自己投资拍摄《追女仔95之绮梦》。90年代后期逐渐淡出影坛。曾出演电视剧。近期复出接拍广告。,"Shanghai, China"
94,67222,1968-05-16,UNK,邱淑贞,邱淑贞于1987年参选香港小姐，退选后与无线电视签约加入娱乐圈，首部演出作品是《最佳损友》。 1992年一改其清纯形象，在《赤裸羔羊》有大胆演出，奠定性感女神地位。息影以后，邱淑贞结识了时装店I.T老板沈嘉伟，并于1998年与沈嘉伟结婚，婚后育有三名女儿，沈月和、沈婷婷和沈星。,Hong Kong
95,67224,UNK,UNK,黎姿,,UNK
96,67259,UNK,UNK,程小东,,UNK
97,67689,1950-08-23,UNK,谭咏麟,谭咏麟（1950年8月23日－） 绰号“谭校长”，为已故足球名宿谭江柏之子，生于香港，籍贯广东新会，是香港知名粤语流行曲歌手与电影演员。曾为失败者乐队成员，1973年任温拿乐队主音歌手，1979年单飞后推出首张个人专辑《反斗星》，是于1980至1990年代的香港乐坛巨星，曾在1984至1987年度香港“十大劲歌金曲颁奖礼”上连续四届获得“最受欢迎男歌星”奖，1996年在香港十大中文金曲颁奖礼上获得金针奖。当被问及有关年龄问题时，他常自称“年年皆为二十五岁”。谭咏麟擅长演唱浪漫情歌，代表作有《爱在深秋》、《雾之恋》、《爱的根源》等。,UNK
98,68557,1967-01-31,UNK,王祖贤,,Taiwan
99,68561,UNK,UNK,葛民辉,,UNK
100,68562,1967-01-28,UNK,林海峰,,Hong Kong
101,68563,UNK,UNK,温翠苹,,UNK
102,69033,1966-02-05,UNK,邬君梅,,"Shanghai, China"
103,69636,1946-08-19,UNK,Ti Lung,,"Guangdong Province, China"
104,69637,1956-09-12,2003-04-01,张国荣,张国荣，籍贯广东梅县，生于香港，是一位在全球华人社会和亚洲地区有影响力的著名演员、歌手和音乐人，大中华地区乐坛和影坛巨星，演艺圈多面发展最成功的代表之一。他是1980年代华语乐坛的殿堂级歌手之一；1991年获香港电影金像奖最佳男主角；1994年凭《霸王别姬》获日本影评人协会最佳外语片男主角，并打破大陆文艺片在美国的票房纪录，成功晋身国际影坛；1999年获香港乐坛最高荣誉“金针奖”。他主演的电影名作有《胭脂扣》、《倩女幽魂》、《阿飞正传》、《霸王别姬》、《东邪西毒》、《春光乍泄》等。,Hong Kong
105,69638,UNK,UNK,Emily Chu,,UNK
106,70437,1952-01-02,UNK,吴孟达,香港喜剧演员，最重要的配角演员之一。原籍福建厦门，无线电视台第三期艺员训练班毕业。吴孟达长相老气，身材发福，从影30馀年，几乎从未做过真正意义上的主角。他甘当绿叶，一直为周润发、刘德华、梁朝伟、黎明、郭富城等大牌明星做绿叶，无论是不务正业的老爸，还是颓废无能的警察，或贪生怕死但又忠肝义胆的手下，都演绎得相当精彩，放射的光芒绝不输天皇巨星。尤其与周星驰长期合作喜剧片，成为香港影坛当仁不让的“搞笑男二号”。他出演的知名影片有《英雄本色2》（1987）、《阿郎的故事》（1989）、《天若有情》（1990，获香港金像奖最佳男配角奖）、《赌圣》（1990）、《赌侠》、《逃学威龙》、《五亿探长雷洛传》（1991）、《武状元苏乞儿》、《鹿鼎记》（1992）、《九品芝麻官》、《破坏之王》（1993）、《月光宝盒》、《仙履奇缘》、《乌龙院》（1994）、《百变星君》（1995）、《食神》（1996）、《喜剧之王》（1999）、《少林足球》（2001）等。吴孟达身体语言丰富多彩，饰演小人物活灵活现，是香港最为出色的草根演员之一。,中国福建厦门
107,70590,UNK,UNK,Teresa Mo,,UNK
108,70591,UNK,UNK,陈欣健,,UNK
109,70673,1939-06-29,2002-11-02,罗烈,,UNK
110,70674,1955-05-06,UNK,徐少强,,UNK
111,70690,1959-03-17,UNK,Ken Lo,,"Stung Treng, Cambodia"
112,70703,UNK,UNK,陈德森,,UNK
113,71051,1984-04-29,UNK,王宝强,,UNK
114,72731,1967-12-02,UNK,张家辉,,Hong Kong
115,73774,1970-08-16,UNK,孙红雷,,China
116,74021,1929,UNK,李滨,,UNK
117,74946,1971-12-06,UNK,Huang Lei,,UNK
118,74947,1986-08-08,UNK,张雨绮,张雨绮（Yuqi Zhang），华语电影女演员。1986年8月8日出生于山东德州。2004年考入上海戏剧学院附属戏曲学校。2006年周星驰电影《长江7号》开拍，出演女主角袁老师；2008年出演徐克导演爱情喜剧片《女人不坏》女主角唐露，入围2009年香港电影金像奖最佳新人奖。2010年出演王全安导演改编自陈忠实长篇小说《白鹿原》同名电影女一号田小娥，获2012年第62届柏林国际电影节最佳女主角提名，获2013年第20届北京大学生电影节最受大学生欢迎的女演员奖。,"Shandong, China"
119,76913,1957-04-19,UNK,葛优,1957年4月19日出生于北京，中国男演员，国家一级演员。1979年考入中华全国总工会文工团。1985年，出演个人首部电影《盛夏和她的未婚夫》，从而正式出道。1992年，因在电视剧《编辑部的故事》中饰演李冬宝一角而获得关注。1993年，凭借电影《大撒把》获得第13届中国电影金鸡奖最佳男主角。1994年，凭借电影《活着》获得第47届戛纳国际电影节最佳男主角奖，成为首位获此奖项的华人演员。1997年，在冯小刚执导的贺岁片《甲方乙方》中饰演姚远一角。1998年、2002年、2004年三度获得大众电影百花奖最佳男主角奖。2011年8月，凭借《赵氏孤儿》获得第14届中国电影华表奖最佳男演员奖，12月签约英皇娱乐。,"Beijing, China"
120,77301,1963-01-05,UNK,Jiang Wen,,"Tangshan, Hebei, China"
121,77303,1946-03-19,UNK,王学圻,,UNK
122,77304,1976-03-12,UNK,赵薇,,"Wuhu, Anhui province, China"
123,78877,UNK,UNK,吕良伟,,UNK
124,78878,1978-12-27,UNK,Xing Yu,,"Shandong, China"
125,78879,1969-01-22,UNK,徐玟晴,,"Liaoning, China"
126,81081,UNK,UNK,Mai Kei,,UNK
127,82177,1947-03-13,UNK,萧芳芳,,UNK
128,82401,1947-02-24,UNK,郑少秋,,UNK
129,83358,1946-07-10,UNK,陈惠敏,,UNK
130,83489,1965-02-08,UNK,张卫健,张卫健，香港著名男歌手和演员。最初凭借韦小宝、不懂、孙悟空等古灵精怪的形象为人们熟知，在表演方面的天赋征服了许多观众。然而他进入娱乐圈的最初目的是为了当歌手，1991年首次担纲出演《老友鬼鬼》便一炮走红，之后由香港华纳唱片公司推出的首张个人粤语专辑《真真假假》也登上了排行榜冠军。1999年《少年英雄方世玉》的热播使张卫健成为两岸三地家喻户晓的明星。2009年1月12日，张卫健和张茜结束10年爱情长跑，在菲律宾圣奥古斯汀教堂举行婚礼。,Hong Kong
131,83560,UNK,UNK,Anthony Chan,,UNK
132,83624,UNK,UNK,刘松仁,,UNK
133,83630,UNK,UNK,Lam Wai,,UNK
134,83631,1960-10-13,UNK,徐锦江,出生于黑龙江，毕业于广州美术学院，主修绘画，美术大师关山月的关门弟子，1982年到港发展，曾举行画展，亦从事过模特和夜总会歌手。1987年正式踏入电影圈，在八十年代到香港后被麦当雄导演赏识，以《省港旗兵续集》入行，后来曾经拍摄过多部三级片。他因在周星驰电影中的演出而被许多观众熟悉，现在在内地发展，以拍摄电视剧为主。,"Mudanjiang, Heilongjiang, China"
135,83635,1983-02-11,UNK,黄圣依,,"Shanghai, China"
136,83686,UNK,UNK,罗美薇,,UNK
137,83689,1969-02-24,UNK,Christine Ng,,UNK
138,83693,UNK,UNK,柯受良,,UNK
139,84205,UNK,UNK,惠英红,,UNK
140,86318,UNK,UNK,Sammi Cheng,,UNK
141,87839,UNK,UNK,Pauline Yeung,,UNK
